TOKEN_NAME           | TOKEN_CODE      | TOKEN_VALUE                    | TOKEN_LINE_NUMBER   
---------------------|-----------------|--------------------------------|---------------------
TOKEN_SINGLECOMMENT  | 39              | Valid identifiers:             | 1                   
TOKEN_ID             | 0               | _age                           | 2                   
TOKEN_ID             | 0               | height                         | 3                   
TOKEN_ID             | 0               | Name                           | 4                   
TOKEN_ID             | 0               | School                         | 5                   
TOKEN_ID             | 0               | calculate                      | 6                   
TOKEN_DATATYPE       | 32              | char                           | 7                   
TOKEN_ID             | 0               | favorite_letter                | 7                   
TOKEN_DATATYPE       | 32              | string                         | 8                   
TOKEN_ID             | 0               | name                           | 8                   
TOKEN_OPERATOR       | 19              | =                              | 8                   
TOKEN_STRING         | 2               | roljohn                        | 8                   
TOKEN_SEMI           | 4               | ;                              | 8                   
TOKEN_SINGLECOMMENT  | 39              | Invalid identifiers:           | 11                  
TOKEN_NUMBER         | 41              | 1                              | 12                  
TOKEN_ID             | 0               | name                           | 12                  
TOKEN_SINGLECOMMENT  | 39              | score                          | 13                  
TOKEN_NUMBER         | 41              | 9                              | 14                  
TOKEN_ID             | 0               | _age                           | 14                  
TOKEN_ID             | 0               | age                            | 15                  
TOKEN_OPERATOR       | 19              | %                              | 15                  
TOKEN_ID             | 0               | my                             | 16                  
TOKEN_ID             | 0               | name                           | 16                  
TOKEN_ID             | 0               | price                          | 17                  
TOKEN_SYMBOL         | 3               | @                              | 17                  
